,CBSA,Title,MetroMicro,Pop2018,COVIDEnd,AttackRate,r,dataset,remove_deaths,filtering
4308,35820,"North Platte, NE",Micropolitan Statistical Area,36426,5,,,1point3acres,False,None
4309,35840,"North Port-Sarasota-Bradenton, FL",Metropolitan Statistical Area,821573,109,0.20357569557101288,0.9864223351531246,1point3acres,False,None
4310,35860,"North Vernon, IN",Micropolitan Statistical Area,27611,14,,,1point3acres,False,None
4311,35900,"North Wilkesboro, NC",Micropolitan Statistical Area,68557,2,,,1point3acres,False,None
4312,35940,"Norwalk, OH",Micropolitan Statistical Area,58504,3,,,1point3acres,False,None
4313,35980,"Norwich-New London, CT",Metropolitan Statistical Area,266784,24,,,1point3acres,False,None
4314,36020,"Oak Harbor, WA",Micropolitan Statistical Area,84460,105,0.2044386850621094,0.9711933723173529,1point3acres,False,None
4315,36100,"Ocala, FL",Metropolitan Statistical Area,359977,23,,,1point3acres,False,None
4316,36140,"Ocean City, NJ",Metropolitan Statistical Area,92560,9,,,1point3acres,False,None
4317,36220,"Odessa, TX",Metropolitan Statistical Area,162124,7,,,1point3acres,False,None
4318,36260,"Ogden-Clearfield, UT",Metropolitan Statistical Area,675067,77,0.23518808502113994,0.9867355050783922,1point3acres,False,None
4319,36300,"Ogdensburg-Massena, NY",Micropolitan Statistical Area,108047,23,,,1point3acres,False,None
4320,36340,"Oil City, PA",Micropolitan Statistical Area,51266,1,,,1point3acres,False,None
4321,36380,"Okeechobee, FL",Micropolitan Statistical Area,41537,0,,,1point3acres,False,None
4322,36420,"Oklahoma City, OK",Metropolitan Statistical Area,1396445,222,0.3107408534049462,0.956289637821889,1point3acres,False,None
4323,36460,"Olean, NY",Micropolitan Statistical Area,76840,6,,,1point3acres,False,None
4324,36500,"Olympia-Lacey-Tumwater, WA",Metropolitan Statistical Area,286419,36,0.1892093970716158,0.9667457250193342,1point3acres,False,None
4325,36540,"Omaha-Council Bluffs, NE-IA",Metropolitan Statistical Area,942198,119,0.12677300735995292,0.9960343869113129,1point3acres,False,None
4326,36580,"Oneonta, NY",Micropolitan Statistical Area,59749,17,,,1point3acres,False,None
4327,36620,"Ontario, OR-ID",Micropolitan Statistical Area,54276,1,,,1point3acres,False,None
4328,36660,"Opelousas, LA",Micropolitan Statistical Area,82764,15,,,1point3acres,False,None
4329,36700,"Orangeburg, SC",Micropolitan Statistical Area,86934,21,,,1point3acres,False,None
4330,36740,"Orlando-Kissimmee-Sanford, FL",Metropolitan Statistical Area,2572962,532,0.31816251300336196,0.974086260329145,1point3acres,False,None
4331,36780,"Oshkosh-Neenah, WI",Metropolitan Statistical Area,171020,10,,,1point3acres,False,None
4332,36820,"Oskaloosa, IA",Micropolitan Statistical Area,22000,2,,,1point3acres,False,None
4333,36830,"Othello, WA",Micropolitan Statistical Area,19759,7,,,1point3acres,False,None
4334,36837,"Ottawa, IL",Micropolitan Statistical Area,148163,1,,,1point3acres,False,None
4335,36840,"Ottawa, KS",Micropolitan Statistical Area,25631,6,,,1point3acres,False,None
4336,36900,"Ottumwa, IA",Micropolitan Statistical Area,35205,1,,,1point3acres,False,None
4337,36940,"Owatonna, MN",Micropolitan Statistical Area,36803,6,,,1point3acres,False,None
4338,36980,"Owensboro, KY",Metropolitan Statistical Area,119114,29,,,1point3acres,False,None
4339,37060,"Oxford, MS",Micropolitan Statistical Area,54793,13,,,1point3acres,False,None
4340,37100,"Oxnard-Thousand Oaks-Ventura, CA",Metropolitan Statistical Area,850967,126,0.21485016495296114,0.9856795283232519,1point3acres,False,None
4341,37120,"Ozark, AL",Micropolitan Statistical Area,48956,0,,,1point3acres,False,None
4342,37140,"Paducah, KY-IL",Micropolitan Statistical Area,96647,5,,,1point3acres,False,None
4343,37220,"Pahrump, NV",Micropolitan Statistical Area,45346,1,,,1point3acres,False,None
4344,37260,"Palatka, FL",Micropolitan Statistical Area,74163,13,,,1point3acres,False,None
4345,37300,"Palestine, TX",Micropolitan Statistical Area,58057,0,,,1point3acres,False,None
4346,37340,"Palm Bay-Melbourne-Titusville, FL",Metropolitan Statistical Area,596849,32,,,1point3acres,False,None
4347,37420,"Pampa, TX",Micropolitan Statistical Area,22798,0,,,1point3acres,False,None
4348,37460,"Panama City, FL",Metropolitan Statistical Area,185287,6,,,1point3acres,False,None
4349,37500,"Paragould, AR",Micropolitan Statistical Area,45325,1,,,1point3acres,False,None
4350,37540,"Paris, TN",Micropolitan Statistical Area,32358,1,,,1point3acres,False,None
4351,37580,"Paris, TX",Micropolitan Statistical Area,49728,3,,,1point3acres,False,None
4352,37620,"Parkersburg-Vienna, WV",Metropolitan Statistical Area,90033,3,,,1point3acres,False,None
4353,37660,"Parsons, KS",Micropolitan Statistical Area,19964,0,,,1point3acres,False,None
4354,37740,"Payson, AZ",Micropolitan Statistical Area,53889,1,,,1point3acres,False,None
4355,37770,"Pearsall, TX",Micropolitan Statistical Area,19816,0,,,1point3acres,False,None
4356,37780,"Pecos, TX",Micropolitan Statistical Area,15847,0,,,1point3acres,False,None
4357,37800,"Pella, IA",Micropolitan Statistical Area,33407,0,,,1point3acres,False,None
4358,37860,"Pensacola-Ferry Pass-Brent, FL",Metropolitan Statistical Area,494883,117,0.31364145048107694,0.9841142536993497,1point3acres,False,None
4359,37900,"Peoria, IL",Metropolitan Statistical Area,403217,16,,,1point3acres,False,None
4360,37940,"Peru, IN",Micropolitan Statistical Area,35567,3,,,1point3acres,False,None
4361,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Metropolitan Statistical Area,6096372,2949,0.2761900671961876,0.9970244369259587,1point3acres,False,None
4362,38060,"Phoenix-Mesa-Chandler, AZ",Metropolitan Statistical Area,4857962,754,0.3090314996820234,0.9938609787814008,1point3acres,False,None
4363,38100,"Picayune, MS",Micropolitan Statistical Area,55387,27,0.19954151368609718,0.9541047002913339,1point3acres,False,None
4364,38180,"Pierre, SD",Micropolitan Statistical Area,20672,1,,,1point3acres,False,None
4365,38220,"Pine Bluff, AR",Metropolitan Statistical Area,89515,44,,,1point3acres,False,None
4366,38240,"Pinehurst-Southern Pines, NC",Micropolitan Statistical Area,98682,8,,,1point3acres,False,None
4367,38260,"Pittsburg, KS",Micropolitan Statistical Area,39019,5,,,1point3acres,False,None
4368,38300,"Pittsburgh, PA",Metropolitan Statistical Area,2324743,478,0.332686089299332,0.9750796369738594,1point3acres,False,None
4369,38340,"Pittsfield, MA",Metropolitan Statistical Area,126348,162,0.19095455068418557,0.9686263251702507,1point3acres,False,None
4370,38380,"Plainview, TX",Micropolitan Statistical Area,33830,1,,,1point3acres,False,None
4371,38420,"Platteville, WI",Micropolitan Statistical Area,51554,1,,,1point3acres,False,None
4372,38460,"Plattsburgh, NY",Micropolitan Statistical Area,80695,17,,,1point3acres,False,None
4373,38500,"Plymouth, IN",Micropolitan Statistical Area,46248,3,,,1point3acres,False,None
4374,38540,"Pocatello, ID",Metropolitan Statistical Area,94906,3,,,1point3acres,False,None
4375,38580,"Point Pleasant, WV-OH",Micropolitan Statistical Area,56697,4,,,1point3acres,False,None
4376,38620,"Ponca City, OK",Micropolitan Statistical Area,44161,20,,,1point3acres,False,None
4377,38700,"Pontiac, IL",Micropolitan Statistical Area,35761,2,,,1point3acres,False,None
4378,38740,"Poplar Bluff, MO",Micropolitan Statistical Area,56040,2,,,1point3acres,False,None
4379,38780,"Portales, NM",Micropolitan Statistical Area,18743,1,,,1point3acres,False,None
4380,38820,"Port Angeles, WA",Micropolitan Statistical Area,76737,6,,,1point3acres,False,None
4381,38860,"Portland-South Portland, ME",Metropolitan Statistical Area,535420,214,,,1point3acres,False,None
4382,38900,"Portland-Vancouver-Hillsboro, OR-WA",Metropolitan Statistical Area,2478810,414,0.21844892858456547,0.994434470935943,1point3acres,False,None
4383,38920,"Port Lavaca, TX",Micropolitan Statistical Area,21561,6,,,1point3acres,False,None
4384,38940,"Port St. Lucie, FL",Metropolitan Statistical Area,482040,58,,,1point3acres,False,None
4385,39020,"Portsmouth, OH",Micropolitan Statistical Area,75502,0,,,1point3acres,False,None
4386,39060,"Pottsville, PA",Micropolitan Statistical Area,142067,30,,,1point3acres,False,None
4387,39100,"Poughkeepsie-Newburgh-Middletown, NY",Metropolitan Statistical Area,675669,1827,0.3587625117764062,0.9791300847851313,1point3acres,False,None
4388,39150,"Prescott Valley-Prescott, AZ",Metropolitan Statistical Area,231993,15,,,1point3acres,False,None
4389,39220,"Price, UT",Micropolitan Statistical Area,20269,0,,,1point3acres,False,None
4390,39260,"Prineville, OR",Micropolitan Statistical Area,23867,0,,,1point3acres,False,None
4391,39300,"Providence-Warwick, RI-MA",Metropolitan Statistical Area,1621337,555,0.2560472352088223,0.9614457561325116,1point3acres,False,None
4392,39340,"Provo-Orem, UT",Metropolitan Statistical Area,633768,57,,,1point3acres,False,None
4393,39380,"Pueblo, CO",Metropolitan Statistical Area,167529,16,0.16018342736412253,0.9498042832882734,1point3acres,False,None
4394,39420,"Pullman, WA",Micropolitan Statistical Area,49791,8,,,1point3acres,False,None
4395,39460,"Punta Gorda, FL",Metropolitan Statistical Area,184998,20,0.1972160022567565,0.9419609965150051,1point3acres,False,None
4396,39500,"Quincy, IL-MO",Micropolitan Statistical Area,75546,2,,,1point3acres,False,None
4397,39540,"Racine, WI",Metropolitan Statistical Area,196584,21,0.20665533542867986,0.9771233382742109,1point3acres,False,None
4398,39580,"Raleigh-Cary, NC",Metropolitan Statistical Area,1362540,197,0.1833498699998826,0.9913633905383302,1point3acres,False,None
